R_in_CGS,V_in_CGS,Modes,Bo,We,Oh,Alpha Coefficient of restitution,Center Coefficient of restitution,Contact time ND,Contact time CGS,Min north pole height ND,Min north pole height CGS,Time min north pole height ND,Time min north pole height CGS,Max radius ND,Max radius CGS,Time of max radius ND,Time of max radius CGS,Max contact radius ND,Max contact radius CGS,Time max contact radius ND,Time max contact radius CGS,Max radial projection ND,Max radial projection CGS,Time max radial projection ND,Time max radial projection CGS,Min side height ND,Min side height CGS,Time min side height ND,Time min side height CGS
0.02,0.6000000000000001,20,0,0.0001,0,0.9356220382057789,0.9356220382057789,5.087352281292708,0.0016957840937642363,1.9793869446463088,0.039587738892926175,2.164647994741684,0.0007215493315805614,1.0021414900659775,0.02004282980131955,2.2977910261642878,0.0007659303420547627,0.19151605695901613,0.003830321139180323,0.6871898396005347,0.00022906327986684492,0.9991833912515087,0.019983667825030173,2.224777105706731,0.0007415923685689104,1.9825787670389783,0.039651575340779566,2.460998613069415,0.0008203328710231384
0.02,1.8973665961010278,20,0,0.001,0,0.9356201717973402,0.9356201717973404,4.030797902906886,0.0013435993009689622,1.9496738562754032,0.03899347712550807,1.69649991651382,0.0005654999721712734,1.0067718717040126,0.020135437434080253,1.8296429479364236,0.0006098809826454746,0.1915151130009638,0.003830302260019276,0.21904176137267042,7.301392045755681e-05,1.0037583932179155,0.02007516786435831,1.7523340909813634,0.0005841113636604545,1.9597671541231707,0.03919534308246341,1.9928505348415504,0.0006642835116138502
0.02,6.0,20,0,0.01,0,0.963815566006993,0.963815566006993,3.4982257772164718,0.0011660752590721573,1.85595200470473,0.0371190400940946,1.74803915448386,0.0005826797181612867,1.024287621967476,0.020485752439349518,1.6793201705238066,0.0005597733901746022,0.3276344729314361,0.006552689458628722,0.8589872995006683,0.0002863290998335561,1.0212743703416618,0.020425487406833236,1.623485996056263,0.0005411619986854211,1.8920023592906337,0.03784004718581267,1.7308594084938467,0.0005769531361646157
0.02,26.832815729997478,20,0,0.2,0,0.9427228229692254,0.9427228229692254,2.6521232872083136,0.0008840410957361046,1.3656231493237048,0.027312462986474096,1.2498265207734724,0.0004166088402578242,1.1351742293369746,0.022703484586739493,1.370084742703566,0.0004566949142345221,0.5992039522597481,0.011984079045194962,1.9541961063640203,0.0006513987021213402,1.131845383284996,0.02263690766569992,1.370084742703566,0.0004566949142345221,1.6953357943680762,0.03390671588736153,1.181107536813419,0.0003937025122711397
0.02,37.94733192202055,20,0,0.4,0,0.912400157132885,0.912400157132885,2.4975055732981932,0.0008325018577660645,1.1082778445786003,0.022165556891572007,1.155337917828399,0.000385112639276133,1.1927858441608792,0.023855716883217585,1.0093100769132852,0.00033643669230442843,0.7285055413318502,0.014570110826637004,0.528277189192911,0.00017609239639763703,1.1892880547065587,0.023785761094131174,1.0093100769132852,0.00033643669230442843,1.6385492893945561,0.03277098578789112,1.0350796958983053,0.00034502656529943515
0.02,46.475800154489,20,0,0.6,0,0.8828411454160385,0.8828411454160385,2.407311906850623,0.0008024373022835411,0.9004935119658801,0.0180098702393176,1.0866189338683454,0.0003622063112894485,1.2368437847877745,0.02473687569575549,0.9835404579282652,0.00032784681930942176,0.7531007550526885,0.01506201510105377,0.365069602287784,0.00012168986742926135,1.2332167974553452,0.024664335949106903,0.9835404579282652,0.00032784681930942176,1.6044235034330465,0.03208847006866093,0.9620657754407484,0.00032068859181358286
0.02,0.6000000000000001,40,0,0.0001,0,0.9577124538912966,0.9577124538912966,4.652364689541773,0.001550788229847258,1.98341347999343,0.0396682695998686,1.9468592880555682,0.0006489530960185229,1.0020121628805627,0.020040243257611254,4.623982580141436,0.0015413275267138122,0.09767066015084243,0.0019534132030168488,4.326353973456818,0.001442117991152273,1.000970879360768,0.020019417587215357,1.7428149339882786,0.0005809383113294262,1.985569503387603,0.03971139006775206,2.2414195585887984,0.0007471398528629329
0.02,1.8973665961010278,40,0,0.001,0,0.9681341346556175,0.9681341346556176,4.113871694973212,0.001371290564991071,1.9509657605321051,0.03901931521064211,1.9545301284340377,0.0006515100428113459,1.006291329957306,0.02012582659914612,1.7290074213070332,0.0005763358071023445,0.17119732526511333,0.003423946505302267,0.9834017365197945,0.00032780057883993155,1.0051119008789617,0.020102238017579235,1.7136657405500944,0.0005712219135166982,1.9591917022303327,0.03918383404460665,2.0373752045215086,0.0006791250681738363
0.02,6.0,40,0,0.01,0,0.9670202539794703,0.9670202539794703,3.500204464695649,0.0011667348215652165,1.8521301417999019,0.037042602835998036,1.5817272860404183,0.0005272424286801395,1.0243273731984606,0.02048654746396921,1.636957336765399,0.0005456524455884664,0.3080885476880812,0.006161770953761624,2.2475562308915737,0.0007491854102971914,1.0229603778016498,0.020459207556032998,1.6185473198570721,0.0005395157732856908,1.8919530372926991,0.037839060745853983,1.7382124297611967,0.0005794041432537323
0.02,26.832815729997478,40,0,0.2,0,0.9595658646071911,0.9595658646071911,2.6502753507612242,0.0008834251169204082,1.3609503134668264,0.02721900626933653,1.2227319563280439,0.0004075773187760147,1.1379317670936542,0.022758635341873085,1.3960929488814555,0.00046536431629381857,0.5635609247745488,0.011271218495490976,0.6382139194886653,0.00021273797316288847,1.1370761187814593,0.022741522375629188,1.3960929488814555,0.00046536431629381857,1.6941869545430959,0.03388373909086192,1.1782410821329208,0.0003927470273776403
